site_id,subsite_id,proj_taxon_id,data_source,sample_method,sample_subtype,date,transect_id,replicate_id,area,height,count,auth_taxon_id,auth_name,taxon_name,site_name,subsite_name,latitude,longitude
a-k-01,b-k-01,t-k-231,kfm,visualfish,BOT,2003-09-09,c-k-00001,1,100,3,0,282576,WORMS,Rhacochilus vacca,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-208,kfm,rdfc,FUL,2003-09-09,c-k-00001,1,2000,NA,0,274786,WORMS,Sebastes dallii,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-229,kfm,visualfish,BOT,1986-07-09,c-k-00001,2,200,3,0,240746,WORMS,Embiotoca jacksoni,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-225,kfm,visualfish,BOT,2004-07-28,c-k-00001,3,100,3,1,274852,WORMS,Sebastes serranoides,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-227,kfm,visualfish,BOT,1995-08-23,c-k-00001,3,200,3,0,282054,WORMS,Paralabrax clathratus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-228,kfm,visualfish,BOT,1991-10-16,c-k-00001,1,200,3,0,282753,WORMS,Semicossyphus pulcher,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-131,kfm,rdfc,FUL,1998-09-15,c-k-00001,1,2000,NA,0,280865,WORMS,Girella nigricans,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-228,kfm,visualfish,BOT,1998-09-15,c-k-00001,3,100,3,2,282753,WORMS,Semicossyphus pulcher,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-225,kfm,visualfish,BOT,2011-09-15,c-k-00001,4,100,3,0,274852,WORMS,Sebastes serranoides,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-227,kfm,visualfish,BOT,1993-07-14,c-k-00001,3,200,3,0,282054,WORMS,Paralabrax clathratus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-211,kfm,rdfc,FUL,1997-07-08,c-k-00001,1,2000,NA,0,275809,WORMS,Paralichthys californicus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-233,kfm,visualfish,BOT,2003-09-09,c-k-00001,4,100,3,0,280865,WORMS,Girella nigricans,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-188,kfm,rdfc,FUL,1996-07-22,c-k-00001,1,2000,NA,0,271856,WORMS,Gymnothorax mordax,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-229,kfm,visualfish,BOT,2003-09-25,c-k-00001,2,100,3,0,240746,WORMS,Embiotoca jacksoni,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-177,kfm,rdfc,FUL,2003-09-25,c-k-00001,1,2000,NA,0,279813,WORMS,Atherinopsis californiensis,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-229,kfm,visualfish,BOT,1989-09-14,c-k-00001,3,200,3,0,240746,WORMS,Embiotoca jacksoni,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-106,kfm,rdfc,FUL,2004-09-29,c-k-00001,1,2000,NA,0,273751,WORMS,Chromis punctipinnis,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-152,kfm,rdfc,FUL,2010-07-29,c-k-00001,1,2000,NA,0,281282,WORMS,Leiocottus hirundo,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-233,kfm,visualfish,BOT,2014-10-01,c-k-00001,3,100,3,0,280865,WORMS,Girella nigricans,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-210,kfm,rdfc,FUL,1996-09-19,c-k-00001,1,2000,NA,0,273016,WORMS,Apogon guadalupensis,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-190,kfm,rdfc,FUL,1996-09-19,c-k-00001,1,2000,NA,0,282629,WORMS,Ronquilus jordani,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-169,kfm,rdfc,FUL,1999-09-15,c-k-00001,1,2000,NA,0,281472,WORMS,Lythrypnus zebra,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-223,kfm,visualfish,BOT,2011-09-15,c-k-00001,1,100,3,0,240727,WORMS,Oxyjulis californica,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-232,kfm,visualfish,BOT,2008-09-09,c-k-00001,4,100,3,0,281130,WORMS,Hypsypops rubicundus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-231,kfm,visualfish,BOT,2008-09-09,c-k-00001,2,100,3,0,282576,WORMS,Rhacochilus vacca,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-232,kfm,visualfish,BOT,1999-09-15,c-k-00001,1,100,3,0,281130,WORMS,Hypsypops rubicundus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-234,kfm,visualfish,BOT,2003-09-09,c-k-00001,1,100,3,0,275798,WORMS,Halichoeres semicinctus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-211,kfm,rdfc,FUL,2013-10-20,c-k-00001,1,2000,NA,0,275809,WORMS,Paralichthys californicus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-211,kfm,rdfc,FUL,2006-09-12,c-k-00001,1,2000,NA,0,275809,WORMS,Paralichthys californicus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-176,kfm,rdfc,FUL,1996-07-22,c-k-00001,1,2000,NA,0,281541,WORMS,Medialuna californiensis,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-226,kfm,visualfish,BOT,2014-10-01,c-k-00001,2,100,3,0,274772,WORMS,Sebastes atrovirens,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-227,kfm,visualfish,BOT,1998-09-15,c-k-00001,1,100,3,0,282054,WORMS,Paralabrax clathratus,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-194,kfm,rdfc,FUL,2013-10-20,c-k-00001,1,2000,NA,0,281098,WORMS,Hyperprosopon argenteum,1,NA,34.02236667,-120.3874667
a-k-01,b-k-01,t-k-225,kfm,visualfish,BOT,1986-07-09,c-k-00001,1,200,3,12,274852,WORMS,Sebastes serranoides,1,NA,34.02236667,-120.3874667
